Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
"As a admin, admin can send the Gift Voucher mail",UGV-31,10064,,Test,blocked,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,08/Sep/21 5:10 AM,08/Sep/21 5:54 AM,09/Sep/21 4:57 AM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i0008q:,,UGV Sprint 1,,,,,,,,,,In Progress
"As a admin, admin should get the details according to the Filters",UGV-30,10063,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 12:10 PM,08/Sep/21 5:45 AM,08/Sep/21 5:09 AM,08/Sep/21 5:45 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-26,,,,,,,,,{},,,,,,,0|i00091:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin will select the status of order",UGV-29,10062,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 11:57 AM,08/Sep/21 5:45 AM,07/Sep/21 12:17 PM,08/Sep/21 5:45 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-26,,,,,,,,,{},,,,,,,0|i0008y:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should write the end date of marketing report",UGV-28,10061,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 11:46 AM,08/Sep/21 5:45 AM,07/Sep/21 12:17 PM,08/Sep/21 5:45 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-26,,,,,,,,,{},,,,,,,0|i0008x:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should write start date of marketing report ",UGV-27,10060,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 11:04 AM,08/Sep/21 5:45 AM,07/Sep/21 12:17 PM,08/Sep/21 5:45 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-26,,,,,,,,,{},,,,,,,0|i0008w:i,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should get all the marketing report ",UGV-26,10059,,Story,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 11:00 AM,08/Sep/21 5:45 AM,08/Sep/21 6:01 AM,08/Sep/21 5:45 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0008w:,,UGV Sprint 1,,,,,,,,,,Done
Admin is unable  send the mail ,UGV-25,10058,,Bug,To Do,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 4:29 AM,07/Sep/21 4:55 AM,08/Sep/21 5:49 AM,,,0,"Admin can't send the mail

steps to reproduce 
1. Go to uniform Application 
2. Go to the Marketing 
3. Go to mail section 
4. Fill the information 
5. Click on send Button 

Expected result 
After entering  the information the mail should be send , and there should be a pop up message that mail has been successfully send

Actual Result 
After entering all the information and clicking on send button the pop up message that is (mail has been successfully send) is not coming 
",,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0008u:i,,UGV Sprint 1,,,,,,,,,,To Do
"As a dmin, admin will write the message ",UGV-24,10057,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 4:07 AM,08/Sep/21 5:44 AM,07/Sep/21 6:50 AM,08/Sep/21 5:44 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-20,,,,,,,,,{},,,,,,,0|i0008s:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin can write subject related to services ",UGV-23,10056,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 3:50 AM,08/Sep/21 5:44 AM,07/Sep/21 4:57 AM,08/Sep/21 5:44 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-20,,,,,,,,,{},,,,,,,0|i0008t:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin send the mail to the departments ",UGV-22,10055,,Test,blocked,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 3:26 AM,08/Sep/21 7:15 AM,08/Sep/21 7:15 AM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-20,,,,,,,,,{},,,,,,,0|i0008r:,,UGV Sprint 1,,,,,,,,,,In Progress
